"### Median"
"","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"0",527397.398398287,488776.755432561,471797.621091263,446050.832857842,426996.294059635,437251.102346462,447636.500069704,417704.200424173,412633.755476659,368917.847205779,384053.248991229,374656.675146702,377614.533709659,371362.302262434,377643.957975593,367303.077058262,349463.739514966,353288.165827722,339370.872091487,328281.451632111,336308.301024865,335443.11175692,331641.227947881,330475.537573818,349563.100723481,375562.831085795,400202.901147777,412289.664164099,427933.994538085,441601.782729251,464944.395527918,486253.283489152,501776.327309896,499219.792113148,515127.07632399,558209.408440674,615112.173215794,659644.361545637,704702.076557208,737615.581217536,776043.781455478,808996.399956913,1083002.62261038,878641.783330656,909385.560423592,924919.311329121,955413.27260221,1023265.73324349,1196421.25641099,1011727.12264412,809216.495013001,1168796.261844,611157.316261064,1188936.32769776,939050.957139395,1407187.51501624,1366094.13175187,1074918.25109413,615224.802672483,396135.640130208,1016113.32683534,1024036.01110131,1663271.37699414,1099066.61121459,1259416.61897508,1106128.33416183,1081308.53057593
"1",127868.357270326,271304.953673876,237615.654031498,239632.028511293,152257.537758321,61049.6776627841,225685.470737629,252180.056408474,147012.272940587,209245.774871558,163887.766563181,146307.620018552,79864.5393484908,87237.5708188933,157145.711865121,103493.701495729,73155.48570407,164103.983671253,0.001,101471.977696509,97241.3124631021,189435.07889658,202004.548708403,184272.628259045,160380.162264588,179023.412649248,201125.2152321,235877.635385057,227698.709033174,249401.156647974,0.001,262437.425002769,363931.25181022,404014.219622225,407695.366235102,403781.066465324,414634.703045675,429810.635333259,464896.593229499,511871.289059328,511789.29525172,514980.946407432,543323.134304334,668841.581605962,531179.143163458,393409.026238358,418150.658811906,311885.441660353,422177.29604442,497267.884622665,448728.57658204,229354.807545692,494787.205693008,131723.763378273,354668.443504869,245897.258224913,522489.739892522,602843.155327774,526537.948812281,192293.28680646,41317.6485082528,392015.373665803,376353.623996555,747520.602034948,507194.51283632,462130.334237467,444973.360824071
"2",120196.255834106,108923.06646811,240114.736532403,207370.311674097,211460.437362753,139229.780051546,53625.6371715518,180901.411879328,220951.976885524,121515.316492471,196138.561735773,137827.579378721,128477.531724927,69268.9886909343,77718.5452718807,136428.700359189,91581.842168516,66448.674634346,145168.743596581,0.001,94341.181374682,91489.8684966072,174864.606756939,185652.195083408,169688.43990261,147726.735337093,166480.972752015,182261.316776506,218184.918571263,208007.451320878,230251.462523077,0.001,245009.982269072,339891.162226984,381044.534159619,384425.326010251,377221.763653204,383484.329052038,403175.892280457,431795.120859404,480116.464792734,476153.122239219,482332.183476684,503002.766185617,621116.005232977,485790.318232948,363919.712363256,387896.74139497,290539.828353749,393114.983631611,464453.025415474,421958.476888953,215810.655657156,464843.672546142,123011.39418123,331204.863032637,230611.258231189,491543.966877906,569590.504339783,494833.506663739,181620.351060738,39154.1238487628,369408.600365446,356362.418211657,706194.098309385,479433.747363751,436727.155517769
"3",112984.48048406,102387.682480024,96444.6115909403,209455.094269389,183052.589780186,193287.493074559,122206.455404184,42962.4838685842,158506.304669373,182544.272610342,113850.896969463,164928.996822504,121039.564521634,111434.359260094,61762.1647542733,67480.2415657655,120819.402631214,83037.7971650431,58871.9495660176,130319.267674799,0.001,88693.8162788381,84461.7350263977,160682.019838815,171007.734486153,156049.915313598,137312.065211548,150749.252014596,168454.162017064,199370.986853713,192101.296367427,211921.157746357,0.001,229117.214894446,320593.379413339,359560.064888964,359403.313470725,349050.674129046,359244.046385763,374434.634166759,404929.126575146,447205.573789402,446213.422272516,446593.370850544,467373.777400037,568095.209850502,449361.74248098,337370.761890635,361452.740358055,270710.624948395,367515.741309127,436354.983824885,397243.618123433,202751.810620362,434392.006762345,114804.113000714,310614.53263318,217015.597734652,464296.268377322,535512.315320169,467496.699355012,172100.513247632,36911.5754171121,350270.243457414,336544.282440484,666978.879362104,453387.9203485
"4",106205.411655016,96244.4215312221,90657.9348954839,84085.3072988261,184954.650825658,167400.299316323,169564.09119648,97925.2041621517,37605.8995002551,131047.686640519,171167.564124344,95730.6737264302,144851.835364968,105054.184582497,99379.46504823,53577.7223830824,59726.2858116538,109698.090989381,73438.3569058941,52823.7810138864,121052.124734335,0.001,81915.0959698134,77673.1839021055,147949.887867754,157361.934185449,145108.949199476,124259.462759651,139377.681167204,153991.076136716,184039.331898809,176667.007329223,197892.433669263,0.001,216060.902069288,302483.201340668,336209.872244497,332401.763368294,327099.802451251,333774.734279428,351359.45081395,377067.519225614,419183.905309799,413682.922080373,415632.433357305,427776.545114504,526101.168919666,416373.904108745,314343.495180621,336491.277109023,252935.167649723,345003.622849554,410679.28868739,373374.994057783,189448.981081812,405391.556899537,107725.43399701,292059.165872944,205044.201214378,436522.814391603,505617.747938206,442943.262640637,162061.189424814,34979.4926728981,330876.630051292,318293.975420779,630511.937656072
"5",99833.0869635123,90469.7562393488,85218.4588017549,79040.1888608965,74179.8332333748,169125.368098696,147037.970108659,135808.560034413,85794.653020227,31066.5183512939,122896.14268504,143956.326214787,84033.2322229825,125763.045882442,93770.3145366903,86259.8624434124,47429.5912476804,54220.1127333844,97122.2136771553,65881.5213321308,49121.0489061232,113748.621281352,0.001,75433.4910469337,71562.349559116,136183.564708703,146353.330777476,131466.512594045,114864.476923364,127360.203751254,142149.294733244,169293.910672605,165027.539249254,184898.679750184,0.001,203726.318945794,282538.886765296,310878.441384208,311530.656231344,303674.024535535,313260.271785306,327063.084681251,353684.588448747,388629.370288506,385274.767822714,381057.323365473,396426.434761269,488535.237217266,387824.901184477,292502.634211235,314155.954369035,237407.820416233,324742.489146932,385832.800117976,348621.995288679,176846.22591436,379738.419981138,101390.66069057,275912.358713391,192872.24058893,412108.666379548,479084.959388924,417073.960020225,153539.378557368,33042.6582070084,312677.627765999,300938.169166476
"6",93843.101739464,85041.5708716295,80105.3512736496,74297.7775292427,69729.0432393723,67752.778406609,148483.015820578,117777.209706074,118935.175617883,70912.8698619488,29098.6384326867,103420.669263595,126505.772041239,72875.1498243378,112173.511711646,81420.4028856004,76394.517027027,43018.0825477205,47984.2387556475,87197.8397033423,61188.5387458747,46200.1815367377,104974.92869954,0.001,69502.5864804747,65843.9274569287,126628.315157862,132449.536101045,121553.813266768,104973.033891076,117583.59312185,130780.912925479,158241.157148188,154270.661982116,174382.284892179,0.001,190469.249562019,261247.030539436,291244.143885741,289188.016930921,284908.628652646,291618.003357973,306427.831225139,327615.577395941,361689.834631446,352878.85800204,353040.98764301,368481.245284934,456015.541002266,361479.451648644,273263.684529584,295183.501124655,223459.3291661,305042.094509342,360182.377339775,325075.900705852,165785.888873898,356823.221758462,95768.364447788,259351.152787637,182301.002052968,390521.016511656,450540.291274523,394974.354046724,145020.623346886,31258.8027407113,295777.516619089
"7",88212.5156393845,79939.0766140184,75299.0302031114,69839.9108774882,65545.3006450099,63687.6117022125,59478.8855396646,118923.883903191,103122.742313485,98290.6537426031,66462.2508499301,24470.010662348,90910.1744996537,109870.927322769,64968.3990808894,97388.294184868,72114.1805481054,69397.6861780681,38070.8740030702,43092.4610134042,80970.1409921536,57489.2630516002,42627.2802704621,96560.6273172152,0.001,64009.9883700889,61178.30243821,114664.647657923,122490.674426524,111043.143699722,96947.2361468216,108246.53652892,122240.739445756,147879.813713655,145528.944669408,164524.526497302,0.001,176045.870140632,244888.778755695,270453.108025411,271251.641200473,265121.308453653,273097.837963016,283972.69772256,304920.453116235,331245.447721474,326822.817125826,327939.798500409,343764.010462454,425747.697351874,338062.268288372,256949.677600847,278021.830155536,210177.291949443,284682.309103609,335752.258218252,305034.655006547,155758.008826147,337551.532466599,90087.5082265148,244778.612767544,172863.095291341,367711.900674596,426403.098633552,372931.765371511,137050.331710476,29577.5243753156
"8",82919.7646979026,75142.7320208302,70781.0883862201,65649.516229966,61612.5826063094,59866.3550000797,55910.1524072848,47648.3640140452,104144.477451119,85171.4816346877,92090.7483386946,55853.8024340606,21475.7371530939,78965.1785620461,97992.3933015912,56374.8094352209,86211.4287341554,65428.1829106637,61421.4443058838,34148.1716645706,40054.3233433373,76079.3038499937,53044.1039657221,39210.7767581751,88960.4498099837,0.001,59511.4541228582,55338.9016906408,106058.906040179,111941.250462045,102598.527204687,89164.2775537039,101149.913624515,114229.579424458,139551.922810975,137363.748325657,153662.906777511,0.001,164806.211250923,227245.313397502,253725.394394101,252618.684461859,248372.426459558,253060.833578099,264047.505812402,279223.619389658,306838.607362617,303550.247749727,305934.295064285,320756.9753878,398817.256734064,318226.203186016,242314.388367436,261645.31081816,196532.44892339,265572.374456579,314767.196626149,287075.62623301,147141.709382205,317727.134174334,85122.4837041456,231947.300468513,162805.950084639,348662.494826356,402358.682371681,352593.913137673,129543.57412858
"9",77944.5788175879,70634.1680969237,66534.2230862813,61710.5452520664,57915.827654454,56274.373700075,52555.5432628477,44789.4621732025,41738.3529841114,86033.456691816,79810.7803075206,77392.0464238064,49028.250504543,18636.7592639237,70407.0741535705,85010.8439606299,49891.8119559717,78219.0754154114,57847.4462309778,55138.0813415905,31736.9288280697,37660.859005676,70171.5455653669,48782.7617511905,36141.4559561292,81839.8694002123,0.001,53907.5693080432,51176.7948792235,96899.767470249,103395.260672885,94397.3457947822,83311.4733184172,94482.5481218033,107714.13532757,131545.085653775,128257.097511812,142033.970444711,0.001,153019.319741234,213198.087695995,236089.29265863,236613.313054087,230199.586150006,235479.428010876,241733.368193117,258487.125789204,284766.532674522,283040.310517302,285303.645415603,300061.304101223,375295.25088977,300408.558250082,228135.673530435,244980.239009007,183670.91816406,249252.246253321,296199.282237652,271553.910265516,138248.089162526,300296.721695432,80668.7711934212,218711.014773795,154058.725950037,329669.39769522,380322.977928185,333253.257220041
