"Year","Age","n","n_preg","Smooth_preg_rate","CI95lower","CI95upper","n_estim"
1952,4,NA,NA,0.000644380143972582,1.9106020130398e-06,0.178717029707749,1
1953,4,NA,NA,0.000842375959728146,3.62075718027826e-06,0.164096426607119,1
1954,4,33,29,0.00109095492365062,6.78908924031573e-06,0.149435712990937,1
1955,4,NA,NA,0.00139897722686201,1.25321403365823e-05,0.135400849493251,1
1956,4,NA,NA,0.00177609018772864,2.26659967420832e-05,0.122549626305704,1
1957,4,NA,NA,0.00223376647347752,4.0148280792621e-05,0.110980080237726,1
1958,4,NA,NA,0.00278481377345168,6.96191200381338e-05,0.100727299995162,2
1959,4,NA,NA,0.0034435528731339,0.00011814114406036,0.0917800440920406,3
1960,4,NA,NA,0.00422605686435351,0.000196126291267514,0.0840964918328821,5
1961,4,NA,NA,0.00515046846569453,0.00031841039219291,0.0776182468021627,7
1962,4,NA,NA,0.00623741492821549,0.000505368888983245,0.0722822736943699,12
1963,4,NA,NA,0.00751054310611751,0.000783872762210298,0.0680309058300402,18
1964,4,25,22,0.00899720125309176,0.00118776997909758,0.0648203906723192,26
1965,4,109,96,0.0107292992614617,0.0017574664111979,0.0626286616706183,34
1966,4,49,43,0.0127443856955858,0.00253811481004259,0.061463169897904,48
1967,4,123,109,0.0150869883547434,0.00357597172852763,0.0613697059489874,61
1968,4,55,48,0.017810275413264,0.00491274387931466,0.0624431967743218,71
1969,4,165,146,0.0209781064063743,0.0065783045156243,0.064841444099463,86
1970,4,107,92,0.0246747822528549,0.00856189670072504,0.0690005862360741,91
1971,4,NA,NA,0.0289711895378751,0.0109192445825642,0.0746156190507047,103
1972,4,NA,NA,0.0339119670810176,0.013631237864229,0.0818623780048239,104
1973,4,NA,NA,0.0395246202701974,0.0166495429240473,0.0909222121452309,104
1974,4,NA,NA,0.0458115843201487,0.0199013804344962,0.101946248857491,95
1975,4,NA,NA,0.0527418233879519,0.0232989681049447,0.115010298677403,86
1976,4,NA,NA,0.060242824721822,0.0267499297768935,0.130066956659149,78
1977,4,NA,NA,0.0681940875377907,0.0301649918271769,0.146904418751777,68
1978,4,NA,NA,0.0764233164477267,0.0334613560846158,0.165121873610227,61
1979,4,8,4,0.0847064438697189,0.036562432069058,0.184128962666485,52
1980,4,12,9,0.0927723007846101,0.0393956945525012,0.203172204932051,45
1981,4,17,14,0.100312268567389,0.0418902747439666,0.221385445223158,42
1982,4,3,1,0.106994675883661,0.0439752216353982,0.237856114380157,39
1983,4,NA,NA,0.112483184505321,0.0455787767021012,0.25169652128781,35
1984,4,NA,NA,0.116458046598467,0.0466286943165689,0.262110670946445,33
1985,4,1,1,0.117178358089835,0.0476627971075967,0.260362760863178,34
1986,4,11,8,0.113571576833511,0.0473797663910703,0.248148185362682,37
1987,4,24,15,0.10660580548857,0.0458647146414339,0.228522913678793,41
1988,4,19,14,0.0974175764597484,0.0432792291735152,0.204782376985225,50
1989,4,25,2,0.0871201345057906,0.0398360244507504,0.18000699527747,62
1990,4,10,6,0.0766656580065201,0.0357755393487212,0.156696597012823,73
1991,4,29,18,0.0667713548560416,0.0313479189038947,0.136579552689092,83
1992,4,32,21,0.0576561484479665,0.0267963894869698,0.119684577773509,95
1993,4,35,16,0.0485112869468233,0.0216779579815446,0.104994701922032,99
1994,4,40,33,0.0400998258874718,0.0168029316821539,0.0926534390337235,99
1995,4,16,14,0.0330006662383765,0.0128233784572816,0.0822802401503975,97
1996,4,37,24,0.0274117674267711,0.00990297770029005,0.0735762562430211,94
1997,4,36,26,0.0233044382252247,0.00794924005165569,0.0663372070162564,99
1998,4,36,21,0.0205643576999924,0.00680402661404057,0.0604592895884633,99
1999,4,59,35,0.0191003184399899,0.00635843975701857,0.0559385834410908,107
2000,4,42,29,0.0183248150906781,0.00606922220395829,0.0539840115343426,114
2001,4,39,26,0.0176703258956068,0.00579198651037953,0.052619733456528,111
2002,4,71,30,0.0171458160697919,0.00509038803067782,0.0561407382100976,92
2003,4,90,57,0.0167603477834552,0.00447670263556132,0.0606942362815802,72
2004,4,77,23,0.016524229132798,0.00395832718578203,0.0663249113845897,54
2005,4,86,54,0.0164502923642293,0.00352599264844463,0.0732647183105133,45
2006,4,119,57,0.0165553882539232,0.00317037709157021,0.0818126135496769,34
2007,4,84,62,0.0168404861688179,0.0028416988683216,0.0933446752090099,26
2008,4,61,43,0.017200770240714,0.0025158593570966,0.108294691161127,19
2009,4,105,59,0.0176377345077556,0.0022273841598597,0.12618258181461,13
2010,4,114,35,0.0181769774782285,0.00197518234991337,0.147619742125491,10
2011,4,153,30,0.0188479909139619,0.0017572590512864,0.173302401324012,8
2012,4,12,5,0.019685709957331,0.0015711159173096,0.203986280175048,6
2013,4,10,6,0.0207326292876015,0.0013092849298297,0.254789709259524,4
2014,4,78,65,0.0220416880100907,0.00102792669228018,0.330509852981028,3
2015,4,19,15,0.0234443938944421,0.000803109525386794,0.417611893067379,2
2016,4,130,77,0.0247088689779484,0.000624116171173388,0.506850114796067,1
2017,4,53,28,0.025804781219914,0.000483008656765912,0.592156881637639,1
2018,4,NA,NA,0.0267050436835347,0.000372758906935442,0.66874989023302,1
1952,5,NA,NA,0.00260964880952785,0.000126628319424932,0.0512842577899124,6
1953,5,NA,NA,0.00389620194969388,0.000242928475693406,0.0592340434308707,9
1954,5,33,29,0.0057611274014701,0.000458272465563758,0.0682364409010314,14
1955,5,NA,NA,0.00840282271889425,0.000845574665808386,0.0782150131085005,15
1956,5,NA,NA,0.0120435472187463,0.00151783250226348,0.0890519269086587,17
1957,5,NA,NA,0.0169650845406595,0.00265023350215496,0.100786077386276,21
1958,5,NA,NA,0.0234892208811927,0.00450014051159078,0.113472467087538,24
1959,5,NA,NA,0.0319676131341475,0.00742810413631761,0.12718779748687,30
1960,5,NA,NA,0.0427644049250414,0.0119121640907577,0.142036758936191,34
1961,5,NA,NA,0.0562311870952367,0.0185451013745548,0.158159171209854,38
1962,5,NA,NA,0.0726752498921205,0.0280010647253327,0.175738069330987,45
1963,5,NA,NA,0.0923238534190115,0.0409582324977031,0.195008524674367,51
1964,5,25,22,0.115289091030345,0.0579719122342857,0.216266129361384,63
1965,5,109,96,0.141539245129643,0.0793108818196763,0.239872110904448,72
1966,5,49,43,0.170882673499547,0.104796774796665,0.266248334324227,81
1967,5,123,109,0.202968781439277,0.133710151857726,0.295850132813911,97
1968,5,55,48,0.237307628637985,0.164826972114515,0.32910136415258,99
